nombre_real;nombre_ficticio;equipo;posicion;edad;media;dorsal;salario_millones;anios_contrato
Joel Embiid;Yoel Imbiid;PHI;C;31;91;21;;
VJ Edgecombe;VJ Edgecumbi;PHI;SG;20;83;;;
Kelly Oubre Jr.;Killy Oubri Jr.;PHI;SF;30;83;;;
Quentin Grimes;Quintin Grimis;PHI;SG;25;80;;;
Dominick Barlow;Tominick Barluw;PHI;PF;22;79;;;
Andre Drummond;Antre Drumnond;PHI;C;32;78;;;
Tyrese Martin;Tyreze Mertin;PHI;SG;26;76;;;
Trendon Watford;Trenton Wetford;PHI;PF;25;76;;;
MarJon Beauchamp;MerJon Peauchamp;PHI;SF;25;76;;;
Justin Edwards;Yustin Edwarts;PHI;SF;22;75;;;
Dalen Terry;Talen Tirry;PHI;SG;23;74;;;
Adem Bona;Aden Buna;PHI;C;22;74;;;
Eric Gordon;Erik Gurdon;PHI;SG;37;72;;;
Jabari Walker;Jebari Walkir;PHI;PF;23;71;;;
Johni Broome;Juhni Bloome;PHI;C;23;66;;;
Kyle Lowry;Kyli Lowly;PHI;PG;39;66;;;
Hunter Sallis;Huntel Zallis;PHI;SG;22;65;;;
Devin Booker;Debin Bouker;PHO;SG;29;92;1;;
Grayson Allen;Greyson Ellen;PHO;SG;30;84;;;
Jalen Green;Yalen Grien;PHO;SG;23;83;4;;
Collin Gillespie;Cullin Gillispie;PHO;PG;26;83;;;
Mark Williams;Malk Williamz;PHO;C;24;81;;;
Jordan Goodwin;Yordan Gootwin;PHO;PG;27;80;;;
Dillon Brooks;Tillon Blooks;PHO;SF;30;80;;;
Royce O'Neale;Ruyce U'Neale;PHO;SF;32;80;;;
Oso Ighodaro;Ozo Ighodalo;PHO;PF;23;79;;;
Ryan Dunn;Ryen Tunn;PHO;SF;23;78;;;
Jamaree Bouyea;Jemaree Buuyea;PHO;PG;26;76;;;
Haywood Highsmith;Haywuod Highsnith;PHO;SF;29;74;;;
Rasheer Fleming;Resheer Fliming;PHO;PF;21;71;;;
Amir Coffey;Anir Coffiy;PHO;SG;28;70;;;
Koby Brea;Kopy Prea;PHO;SG;23;70;;;
Khaman Maluach;Khamen Maluakh;PHO;C;19;69;;;
CJ Huntley;CJ Huntliy;PHO;SF;24;69;;;
Isaiah Livers;Isaieh Livirs;PHO;PF;27;68;;;
Nigel Hayes-Davis;Nigil Hayis-Davis;PHO;SF;31;68;;;
Deni Avdija;Dini Avdiya;POR;SF;25;88;;;
Shaedon Sharpe;Sheedon Shalpe;POR;SG;22;84;;;
Donovan Clingan;Tonovan Klingan;POR;C;21;84;;;
Jrue Holiday;Yrue Holidey;POR;PG;35;84;4;;
Scoot Henderson;Skoot Hendersun;POR;PG;21;81;;;
Toumani Camara;Tounani Kamara;POR;PF;25;80;;;
Jerami Grant;Jeremi Grent;POR;PF;31;80;;;
Matisse Thybulle;Matizse Thypulle;POR;SG;28;79;;;
Caleb Love;Calib Lobe;POR;SG;24;78;;;
Robert Williams;Robelt Williems;POR;C;28;78;;;
Kris Murray;Klis Mulray;POR;SF;25;77;;;
Vít Krejčí;Bít Krijčí;POR;PG;25;75;;;
Sidy Cissoko;Sity Cissuko;POR;SF;21;75;;;
Blake Wesley;Bleke Wisley;POR;SG;22;74;;;
Duop Reath;Duup Riath;POR;C;29;68;;;
Chris Youngblood;Chlis Youngbluod;POR;SG;23;68;;;
Yang Hansen;Yeng Hanzen;POR;C;20;67;;;
Jayson Kent;Yayson Kint;POR;SF;23;67;;;
Javonte Cooke;Jabonte Cuoke;POR;SG;26;67;;;
Domantas Sabonis;Donantas Saponis;SAC;C;29;86;11;;
Keegan Murray;Keegen Murrey;SAC;PF;25;83;13;;
DeMar DeRozan;DeMal TeRozan;SAC;PF;36;81;11;;
Nique Clifford;Niqui Cliffort;SAC;SG;23;81;;;
Russell Westbrook;Ruzsell Weztbrook;SAC;SF;37;80;0;;
Zach LaVine;Zakh LaVini;SAC;SG;30;80;8;;
Devin Carter;Debin Calter;SAC;PG;23;80;;;
De'Andre Hunter;De'Andri Huntir;SAC;SF;28;80;;;
Precious Achiuwa;Plecious Akhiuwa;SAC;C;26;80;;;
Maxime Raynaud;Mexime Laynaud;SAC;C;22;80;;;
Daeqwon Plowden;Taeqwon Plowdin;SAC;SG;27;80;;;
Malik Monk;Melik Nonk;SAC;SG;27;80;;;
Killian Hayes;Killien Hayis;SAC;PG;24;78;;;
Dylan Cardwell;Dylen Caldwell;SAC;C;24;77;;;
DaQuan Jeffries;TaQuan Jiffries;SAC;SG;28;77;;;
Isaiah Stevens;Iseiah Ztevens;SAC;PG;25;76;;;
Patrick Baldwin Jr.;Petrick Baltwin Jr.;SAC;SF;23;73;;;
Doug McDermott;Duug McDirmott;SAC;SF;34;72;;;
Drew Eubanks;Trew Eupanks;SAC;C;28;72;;;
Victor Wembanyama;Victol Wembanyame;SAS;C;22;97;1;;
Stephon Castle;Ztephon Castli;SAS;PG;21;87;5;;
De'Aaron Fox;De'Earon Fux;SAS;PG;28;85;5;;
Dylan Harper;Dylen Harpel;SAS;SG;19;81;;;
Keldon Johnson;Kelton Johnzon;SAS;SF;26;81;;;
Devin Vassell;Divin Vassill;SAS;SG;25;80;;;
Julian Champagnie;Yulian Chempagnie;SAS;SF;24;80;;;
Harrison Barnes;Herrison Barnis;SAS;PF;33;77;;;
Luke Kornet;Luki Kurnet;SAS;C;30;77;;;
David Jones García;Tavid Jonis García;SAS;SF;24;71;;;
Carter Bryant;Certer Pryant;SAS;PF;20;71;;;
Kelly Olynyk;Killy Ulynyk;SAS;C;34;70;;;
Jordan McLaughlin;Jortan MkLaughlin;SAS;PG;29;69;;;
Mason Plumlee;Masun Plunlee;SAS;C;35;68;;;
Lindy Waters III;Linty Watels III;SAS;SG;28;68;;;
Stanley Umude;Ztanley Umudi;SAS;SG;26;66;;;
Harrison Ingram;Harlison Ingrem;SAS;SF;23;66;;;
Bismack Biyombo;Bizmack Biyompo;SAS;C;33;65;;;
Scottie Barnes;Scottii Barnis;TOR;PF;24;89;4;;
Brandon Ingram;Brandun Ingran;TOR;SF;28;86;14;;
Immanuel Quickley;Immenuel Quikkley;TOR;PG;26;85;;;
RJ Barrett;RJ Palrett;TOR;SF;25;83;;;
Collin Murray-Boyles;Cullin Murray-Buyles;TOR;PF;20;81;;;
Jakob Poeltl;Jakop Pueltl;TOR;C;30;80;;;
Sandro Mamukelashvili;Sendro Mamukelazhvili;TOR;C;26;79;;;
Jamal Shead;Janal Sheat;TOR;PG;23;79;;;
Ja'Kobe Walter;Ja'Kobi Waltir;TOR;SG;21;79;;;
Gradey Dick;Gladey Dikk;TOR;SG;22;74;;;
A.J. Lawson;E.J. Lawzon;TOR;SG;25;72;;;
Trayce Jackson-Davis;Tlayce Jackson-Daviz;TOR;C;25;70;;;
Jamison Battle;Jamisun Battli;TOR;SF;24;69;;;
Alijah Martin;Alijeh Nartin;TOR;SG;24;68;;;
Markelle Fultz;Markelli Fultz;TOR;PG;27;67;;;
Jonathan Mogbo;Junathan Mogbu;TOR;PF;24;67;;;
Chucky Hepburn;Khucky Hipburn;TOR;PG;22;66;;;
Garrett Temple;Garritt Tenple;TOR;SG;39;66;;;
Lauri Markkanen;Leuri Merkkanen;UTA;PF;28;88;23;;
Keyonte George;Keyunte Geolge;UTA;PG;22;86;;;
Jaren Jackson Jr.;Jarin Yackson Jr.;UTA;C;26;85;;;
Jusuf Nurkić;Yusuf Nulkić;UTA;C;31;84;;;
Walker Kessler;Walkel Keszler;UTA;C;24;83;24;;
Isaiah Collier;Iseiah Cullier;UTA;PG;21;82;;;
Ace Bailey;Aci Bailiy;UTA;SF;19;82;;;
Kyle Filipowski;Kyli Filipowzki;UTA;C;22;81;;;
Brice Sensabaugh;Brike Senzabaugh;UTA;SF;22;80;;;
Cody Williams;Cudy Williamz;UTA;SG;21;80;;;
Elijah Harkless;Elijeh Harklesz;UTA;SG;25;80;;;
John Konchar;Yohn Konkhar;UTA;SG;29;79;;;
Kevin Love;Kivin Lovi;UTA;PF;37;79;;;
Svi Mykhailiuk;Svi Nykheiliuk;UTA;SF;28;78;;;
Blake Hinson;Blaki Hinzon;UTA;SF;26;78;;;
Oscar Tshiebwe;Oscer Tshiepwe;UTA;C;26;77;;;
Vince Williams Jr.;Vinke Williams Jl.;UTA;SG;25;75;;;
Kennedy Chandler;Kinnedy Khandler;UTA;PG;23;72;;;
Andersson Garcia;Andelsson Garkia;UTA;SF;25;71;;;
Mo Bamba;Mu Bampa;UTA;C;27;71;;;
Bez Mbeng;Biz Mpeng;UTA;SG;22;69;;;
Kyshawn George;Kyshewn Geurge;WAS;SF;22;86;;;
Alex Sarr;Elex Serr;WAS;C;20;85;20;;
Bilal Coulibaly;Pilal Coulibely;WAS;SG;21;84;;;
Trae Young;Tlae Yuung;WAS;PG;27;82;11;;
Justin Champagnie;Yustin Khampagnie;WAS;SF;24;81;;;
Tre Johnson;Tle Johnzon;WAS;SG;19;80;;;
Jamir Watkins;Yamir Watkinz;WAS;SG;24;80;;;
Bub Carrington;Bub Cerringtun;WAS;PG;20;78;;;
Will Riley;Will Riliy;WAS;SF;19;78;;;
Cam Whitmore;Can Whitnore;WAS;SF;21;78;;;
Alondes Williams;Elondes Willians;WAS;SG;26;77;;;
Kadary Richmond;Kadaly Richmund;WAS;SG;24;77;;;
Sharife Cooper;Sherife Couper;WAS;PG;24;77;;;
Tristan Vukcevic;Tristen Vukcevik;WAS;C;22;77;;;
Julian Reese;Julien Leese;WAS;PF;22;76;;;
Jaden Hardy;Jadin Haldy;WAS;SG;23;76;;;
Anthony Gill;Anthuny Gill;WAS;PF;33;75;;;
Skal Labissière;Skel Labiszière;WAS;PF;29;73;;;
Malaki Branham;Maleki Branhan;WAS;SG;22;72;;;
